Timestamp;scop_exciting_gy;scop_exciting_signal
1082076;120;-620
1083076;59;-623
1084078;29;-622
1085079;13;-619
1086075;-1;-616
1087076;-16;-610
1088093;-1;-603
1089079;-1;-597
1090080;13;-591
1091076;13;-585
1092077;29;-580
1093079;29;-574
1094079;13;-568
1095076;13;-561
1096076;-16;-551
1097078;-77;-536
1098079;-92;-519
1099114;-62;-502
1100079;-47;-488
1101079;-31;-474
1102076;-16;-461
1103076;13;-451
1104078;29;-443
1105079;59;-436
1106075;59;-429
1107076;74;-421
1108079;105;-414
1109091;105;-409
1110077;105;-404
1111078;105;-398
1112079;120;-394
1113075;151;-392
1114077;181;-392
1115078;227;-393
1116075;242;-393
1117076;258;-393
1118080;242;-390
1119090;242;-385
1120077;273;-382
1121079;319;-379
1122076;319;-377
1123078;303;-371
1124080;288;-364
1125076;273;-354
1126079;258;-344
1127075;242;-331
1128079;242;-318
1129088;288;-308
1130080;319;-299
1131076;288;-283
1132079;242;-265
1133075;197;-244
1134077;197;-226
1135077;197;-206
1136078;197;-188
1137078;181;-167
1138075;136;-144
1139111;120;-121
1140075;136;-101
1141076;151;-82
1142078;166;-65
1143079;181;-48
1144076;197;-34
1145077;212;-20
1146078;197;-6
1147079;212;4
1148077;242;12
1149110;273;17
1150079;319;19
1151075;334;20
1152077;349;18
1153077;349;17
1154079;334;15
1155080;319;14
1156076;303;13
1157077;334;6
1158079;365;0
1159092;380;-8
1160078;395;-16
1161079;441;-29
1162075;487;-44
1163076;471;-56
1164078;441;-64
1165079;426;-73
1166075;395;-78
1167222;349;-79
1168079;288;-75
1169092;273;-72
1170078;288;-71
1171079;288;-70
1172075;273;-66
1173076;242;-58
1174077;212;-49
1175078;212;-40
1176080;197;-30
1177076;197;-19
1178078;181;-6
1179111;181;5
1180076;166;18
1181077;120;35
1182080;90;52
1183076;90;66
1184079;105;76
1185080;105;87
1186077;90;96
1187079;120;101
1188077;151;101
1189078;197;96
1190106;227;88
1191077;242;77
1192078;258;63
1193075;273;45
1194077;303;24
1195079;319;1
1196076;334;-22
1197079;319;-45
1198075;334;-68
1199078;319;-90
1200094;288;-107
1201092;258;-123
