Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
1003078;70;-108;86
1004089;67;-111;84
1005079;62;-111;81
1006077;59;-116;89
1007077;62;-116;92
1008078;64;-111;92
1009078;67;-111;92
1010077;70;-108;94
1011077;64;-108;97
1012078;59;-111;97
1013078;56;-113;97
1014077;54;-108;94
1015090;51;-103;94
1016075;54;-105;94
1017079;56;-111;97
1018079;56;-113;97
1019078;56;-116;92
1020075;62;-116;84
1021079;62;-119;78
1022079;64;-116;81
1023077;64;-111;86
1024079;62;-111;92
1025090;62;-108;89
1026075;59;-105;86
1027079;54;-100;84
1028079;51;-98;81
1029077;48;-98;81
1030078;56;-105;86
1031077;62;-111;86
1032078;59;-116;86
1033077;56;-116;86
1034079;56;-116;86
1035090;56;-113;92
1036079;59;-105;92
1037076;56;-95;92
1038077;59;-92;94
1039078;64;-95;94
1040078;67;-98;92
1041077;72;-103;92
1042077;72;-103;94
1043078;67;-103;97
1044078;62;-103;97
1045089;59;-111;94
1046078;62;-116;94
1047077;62;-113;92
1048077;56;-108;92
1049078;54;-105;94
1050078;48;-105;94
1051077;51;-105;94
1052077;54;-103;92
1053078;51;-100;94
1054078;51;-100;97
1055089;51;-105;102
1056079;54;-105;100
1057077;54;-100;97
1058077;56;-100;102
1059078;56;-105;102
1060078;56;-108;97
1061077;59;-113;94
1062077;56;-113;97
1063078;48;-108;102
1064079;46;-105;105
1065089;51;-108;105
1066079;54;-113;100
1067077;54;-116;97
1068077;51;-111;92
1069078;51;-111;92
1070078;54;-116;92
1071077;54;-119;92
1072077;54;-116;92
1073078;51;-111;97
1074078;51;-111;97
1075089;54;-111;94
1076078;56;-105;94
1077077;56;-100;97
1078077;51;-95;100
1079078;48;-95;105
1080078;46;-98;108
1081077;46;-103;108
1082078;43;-105;108
1083077;40;-108;108
1084079;40;-113;105
1085077;40;-116;102
1086092;38;-113;102
1087076;38;-108;102
1088079;43;-103;100
1089079;46;-103;100
1090077;43;-103;97
1091078;40;-105;94
1092077;35;-108;97
1093078;32;-113;100
1094078;40;-113;100
1095079;46;-111;100
1096089;46;-108;97
1097080;43;-105;97
1098078;40;-108;92
1099079;40;-113;84
1100077;40;-113;81
1101077;43;-113;81
1102077;46;-113;84
1103077;48;-113;86
1104079;48;-113;89
1105078;48;-111;92
1106077;48;-105;94
1107077;46;-108;100
1108091;43;-113;97
1109075;40;-119;94
1110078;43;-121;94
1111078;48;-121;92
1112077;51;-116;86
1113077;51;-113;81
1114078;48;-113;78
1115078;48;-113;81
1116077;51;-116;86
1117077;54;-116;94
1118092;54;-113;97
1119076;54;-111;94
1120078;51;-111;89
1121078;48;-111;89
1122077;46;-116;89
1123077;43;-119;92
1124078;46;-116;92
1125078;51;-116;92
1126077;56;-119;92
1127077;62;-116;86
1128093;64;-113;84
1129090;64;-116;81
1130080;62;-119;81
1131077;64;-121;81
1132077;64;-119;81
1133078;62;-113;81
1134078;59;-108;81
1135077;59;-108;84
1136077;59;-113;89
1137078;59;-116;100
1138078;62;-119;105
1139092;59;-119;105
1140076;59;-121;105
1141078;59;-124;102
1142078;62;-124;102
1143077;59;-127;105
1144080;54;-135;105
1145077;56;-140;102
1146077;59;-129;100
1147078;62;-119;97
1148079;67;-113;97
1149089;67;-113;94
1150080;62;-113;94
1151078;62;-111;94
1152079;62;-111;97
1153077;64;-108;94
1154079;67;-105;92
1155077;70;-108;92
1156078;67;-111;92
1157077;64;-116;89
1158078;64;-121;86
1159093;67;-119;89
1160076;70;-119;94
1161079;67;-116;100
1162079;70;-119;102
1163077;72;-119;100
1164079;75;-116;100
1165077;75;-113;97
1166077;72;-108;97
1167077;70;-108;100
1168077;70;-111;97
1169092;72;-116;97
