Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
321079;-7224;-18453;2885;6590;-1166;563
322075;9298;658;-3097;-755;-2299;-2346
323091;13274;18608;-4576;-6798;-521;-2251
324076;69;12553;-332;-4338;2006;884
325078;-12679;-9276;3505;2911;2138;3103
326079;-8101;-18273;1946;5597;-285;1494
327075;7684;-2882;-2433;812;-2231;-1990
328075;13445;16200;-3268;-4557;-1285;-2926
329076;1068;13512;1029;-3073;1167;-222
330076;-13375;-7480;4833;3227;1849;2532
331077;-10743;-19036;2546;5419;-9;1872
332078;5971;-5602;-3711;-246;-1859;-1214
333092;15859;16197;-6546;-7105;-1237;-2661
334076;6981;18894;-2583;-6442;1123;-517
335078;-9243;-1256;3493;1468;2207;2484
336078;-12824;-19334;4750;7377;588;2426
337079;-7;-12812;133;4125;-1680;-674
338080;12236;9686;-4469;-4356;-1657;-2801
339076;7991;19177;-3481;-7598;665;-1143
340076;-6882;3749;1264;-1902;2344;2236
341077;-12439;-16083;3232;5141;1283;3039
342078;-1142;-14439;362;5046;-1194;152
343092;11947;6087;-2484;-876;-2002;-2845
344077;9069;18148;-631;-4050;-184;-2165
345078;-6463;5781;3930;-115;1743;1177
346078;-14299;-14680;5015;5436;1200;2798
347080;-3796;-16196;473;4660;-1002;716
348080;11788;3506;-4447;-1980;-1912;-2278
349076;12480;19022;-3442;-5828;-333;-2315
350076;-2650;10162;2529;-1488;1669;616
351078;-14452;-12037;6206;5856;1450;2669
352079;-8124;-19271;3282;7053;-820;1090
353091;7949;-2317;-2514;425;-2245;-2109
354076;13034;16980;-4414;-6218;-848;-2651
355077;908;14005;-804;-5126;1650;262
356078;-12177;-6834;3025;1711;2066;2897
357079;-8898;-18175;1766;5160;-24;1948
358075;6340;-5540;-2852;906;-1873;-1314
359075;13226;14031;-4371;-5034;-1131;-2707
360077;2307;14609;-440;-4600;1210;-464
361077;-12390;-4587;3794;1516;2068;2455
362080;-11343;-18029;2514;4973;269;2207
363080;4812;-7472;-3047;848;-1851;-875
364092;15454;13617;-5920;-5672;-1480;-2718
365078;6629;17508;-2020;-5653;865;-967
366078;-10609;-1366;4315;1684;2027;1964
367079;-14317;-18829;5451;7361;458;2214
368079;68;-12251;238;4199;-1862;-584
369075;13865;9911;-4615;-3864;-1957;-2804
370076;9376;18992;-3222;-6771;359;-1482
371077;-7240;3373;2241;-1024;2058;1627
372078;-14167;-16444;4728;6060;833;2348
373080;-2546;-14753;1496;5814;-1776;-327
374075;12013;5799;-2560;-770;-2388;-2901
375088;10223;18073;-1661;-4693;-147;-1922
376078;-5578;6050;2872;-1089;2198;1522
377075;-14636;-14390;4418;4550;1818;3153
378076;-4822;-16204;349;4267;-728;872
379078;11456;3391;-4265;-1687;-2209;-2466
380079;13166;18977;-3236;-5244;-810;-2628
381076;-2061;9985;2733;-1081;1428;406
382077;-14749;-12301;6511;5958;1455;2565
383079;-8706;-19134;3220;6610;-647;1164
384080;8119;-1554;-3456;-704;-1949;-1770
385089;14119;17939;-5713;-7367;-574;-2236
386092;1954;14408;-1451;-5444;1842;520
387077;-12253;-7385;3339;2246;2170;2906
388079;-10032;-19193;2703;6041;-167;1641
389080;5258;-6110;-1800;1734;-2291;-1803
390076;12957;14125;-3667;-4474;-1492;-2979
391077;2657;14834;-241;-4348;1158;-348
392080;-11918;-4540;3583;1442;2279;2750
393079;-11114;-18036;1978;4455;650;2513
394075;4697;-7392;-3655;94;-1466;-624
395080;15524;14070;-6327;-6209;-1353;-2642
396088;7596;18661;-2438;-6019;751;-1020
397090;-9236;-138;3765;1295;1955;1983
398075;-14220;-19085;5336;7342;532;2313
399077;-1749;-14412;754;4701;-1737;-517
400077;11909;7895;-4311;-3640;-1892;-2813
401078;9495;19522;-3837;-7507;316;-1540
402079;-5291;5963;983;-2396;2105;1734
403075;-12764;-14845;3520;4845;1239;2845
404075;-2940;-15774;690;5145;-1203;294
405077;11169;4100;-3216;-1271;-2131;-2703
406077;10622;18443;-2568;-5618;-326;-2244
407093;-4218;8380;2050;-2095;1817;1045
408077;-13844;-12743;4406;4455;1470;2860
409078;-5233;-16986;922;5043;-847;911
410079;10777;1458;-4111;-1272;-2101;-2255
411075;13507;18696;-3914;-5985;-680;-2555
412076;-710;12200;1663;-2538;1628;457
413078;-13830;-10008;5791;4978;1901;2966
414078;-9217;-19484;3526;7166;-216;1722
415079;6995;-4046;-2167;1172;-1999;-1699
416079;13848;16390;-4389;-5746;-1113;-2858
417090;2776;15660;-719;-5091;1203;-343
418075;-11467;-4901;3902;2150;1810;2455
419076;-10285;-18536;3521;6701;-75;1926
420077;4537;-7872;-1111;2964;-1959;-1178
421078;13356;12789;-3669;-3920;-1299;-2731
422079;4403;16337;-791;-5053;1201;-570
423080;-10782;-1820;3441;604;2362;2551
424075;-12149;-17684;3042;5194;649;2545
425076;2585;-10139;-1787;2510;-1782;-656
426076;14410;11045;-4662;-3732;-1920;-3040
427088;7663;17918;-1225;-4725;181;-1749
428078;-9358;1037;4710;1456;1620;1360
429080;-14883;-17916;5668;6898;530;2266
430080;-1718;-14156;257;4256;-1623;-125
431076;13263;7728;-5016;-3586;-1909;-2557
432077;10845;19472;-4018;-7092;289;-1628
433078;-5564;5952;1536;-2033;2188;1501
434079;-14392;-15039;4550;5193;1199;2605
435080;-4208;-16175;1543;5642;-1492;132
436075;11326;3652;-3100;-823;-2418;-2701
437090;11674;18265;-3033;-5530;-318;-2106
438079;-3567;8644;1430;-2629;2226;1313
439075;-14259;-12339;3701;3257;2118;3299
440076;-6031;-16808;48;3660;-359;1371
441079;10721;1415;-5181;-2292;-1973;-1973
442075;14132;18448;-5090;-6629;-696;-2446
443077;-553;11634;847;-2950;1594;366
444078;-14652;-10645;5662;4714;1715;2597
445075;-10233;-19696;3432;6605;-507;1321
446076;6798;-3723;-3100;-62;-2150;-1757
447089;14583;16859;-5980;-7212;-994;-2529
448079;3524;15725;-2135;-6129;1611;178
449076;-11656;-5447;3110;1595;2346;2899
450077;-11189;-19154;3294;6363;199;2004
451079;3985;-7852;-1047;2746;-2129;-1463
452075;13559;13250;-3521;-3873;-1692;-3062
453077;4769;16400;-455;-4506;826;-791
454078;-10810;-2374;4018;1484;2102;2366
455075;-12500;-18214;3454;5653;606;2426
456076;2353;-10005;-1980;2007;-1587;-571
457095;14768;11925;-5501;-4948;-1538;-2651
458090;8791;19192;-2479;-6042;750;-1042
459079;-7983;2075;3625;678;2252;2114
460075;-14546;-18047;5555;7169;979;2671
461080;-3235;-15895;1141;5270;-1394;-79
462077;11210;5809;-4162;-2950;-1863;-2641
463077;10750;19792;-4043;-7484;91;-1776
464078;-3437;8548;826;-2924;2011;1479
465078;-12723;-13287;3913;4737;1519;3034
466075;-4903;-17448;1527;6000;-811;802
467075;9705;1265;-2640;-168;-2026;-2424
468076;11540;18114;-2728;-5419;-480;-2403
469077;-2114;11041;1459;-2986;1792;833
470091;-13166;-10371;4081;3513;1766;3033
471075;-6623;-17747;1149;5110;-496;1370
472077;9240;-1384;-3654;-285;-2117;-2076
473077;13567;17138;-3661;-5133;-1127;-2999
474079;330;13367;1678;-2583;1127;-263
475080;-13636;-8084;5826;4350;1698;2592
476076;-10323;-19419;3558;6713;-166;1885
477076;6048;-5823;-2569;1008;-1956;-1377
478077;14388;15173;-5423;-6161;-1171;-2807
479078;4179;16583;-1864;-6008;1200;-537
480079;-11051;-3132;3376;1225;1990;2381
481089;-11620;-18436;3777;6484;141;2139
482075;2805;-9900;-504;3642;-1992;-975
483076;13128;10948;-3297;-3007;-1658;-2924
484076;5814;16900;-934;-4865;818;-1075
485078;-9557;403;3075;-72;2308;2250
486078;-12611;-16587;2905;4471;958;2810
487080;1254;-11337;-1897;2246;-1345;20
488080;14336;9545;-5477;-4128;-1526;-2400
489076;9429;18560;-2822;-5910;577;-1392
490076;-7593;3411;3336;-32;2092;1558
491088;-15029;-16552;5384;6187;963;2515
492079;-3213;-15211;656;4526;-1472;129
493076;12817;6117;-5073;-3311;-2104;-2520
494076;12577;19997;-4981;-7734;67;-1785
495077;-3369;8476;387;-3316;2381;1538
496078;-14192;-13452;4101;4345;1879;3146
497079;-6013;-17407;1823;5812;-781;915
498079;10038;1361;-2737;-105;-2250;-2364
499075;12730;18094;-3002;-5113;-776;-2567
500075;-1379;11034;1476;-2641;1623;494
501090;-13643;-10356;4456;3620;1814;2829
502076;-7777;-17864;1669;5108;-453;1387
503077;8717;-1544;-3383;-182;-2219;-1958
504078;14164;17108;-3977;-5116;-1129;-2797
505079;1122;13356;1153;-2715;1339;-82
506075;-13747;-8278;5798;4334;1863;2538
507077;-11307;-19777;3905;6733;-229;1653
508078;5236;-6078;-2554;742;-2185;-1550
509075;14597;15291;-5881;-6577;-1402;-2833
510076;4971;16842;-2280;-6134;1179;-433
511093;-10931;-3368;3503;1584;2204;2522
512078;-12521;-19205;4394;7065;319;2142
513080;1917;-10385;-174;3726;-2001;-1070
514076;13141;11222;-3893;-3846;-1710;-2886
515078;6415;17404;-1944;-5914;807;-925
516079;-9195;444;2594;-333;2326;2316
517075;-12842;-17040;3063;4921;993;2727
518077;691;-11817;-1531;2682;-1482;-268
519079;13812;9296;-5101;-3976;-1990;-2903
520079;8992;18277;-2517;-5865;59;-1814
521088;-8072;2788;3521;150;1894;1496
522075;-15687;-17496;5646;6703;1079;2686
523076;-4223;-16345;1108;5208;-1263;270
524077;11888;5350;-4663;-2954;-2067;-2597
525077;12950;20705;-4850;-7898;-301;-2215
526078;-1589;10539;320;-3602;1793;976
527078;-13125;-12437;4269;4626;1545;2896
528080;-7300;-19207;2544;6894;-792;984
529080;7844;-1409;-1992;864;-2251;-2363
530076;12164;17611;-3214;-5553;-899;-2777
531092;-105;13168;359;-4288;1474;261
532078;-12464;-8442;3534;2446;1745;2782
533079;-8009;-18445;1361;5176;-336;1621
534080;7830;-3583;-3773;23;-1994;-1639
535075;14195;16550;-4917;-5978;-1061;-2770
536076;2319;15348;21;-4424;1262;-307
537076;-12761;-5985;5066;3057;1922;2516
538078;-11615;-19890;3907;6928;-14;1968
539078;4270;-8310;-1905;2176;-2101;-1300
540079;14413;13871;-5023;-5212;-1654;-3075
541190;6076;18314;-1595;-5813;707;-1096
542078;-9532;-331;3913;1159;1925;2071
543079;-12219;-17962;4621;6937;520;2433
544075;1137;-12159;139;4574;-1637;-419
545075;12860;9138;-3364;-2499;-1710;-2752
546076;7538;18148;-1442;-5256;480;-1470
547077;-7885;3342;3062;-562;2044;1702
548079;-13024;-15605;3941;5088;835;2526
549079;-782;-13713;-269;4101;-1605;-88
550075;12914;6388;-4179;-2207;-2104;-2719
551076;9807;17989;-2278;-5146;-27;-1956
552092;-6635;5465;3464;-412;1961;1228
553076;-15305;-15014;5595;5739;1393;2803
554078;-4570;-16308;989;4836;-941;779
555078;12280;3963;-4886;-2486;-2002;-2196
556080;13740;19717;-4881;-7099;-348;-2193
557080;-2078;10303;967;-2911;1790;692
558076;-14819;-12300;5519;5162;1449;2496
559076;-8267;-18941;3395;7124;-1003;790
560078;8601;-1310;-2405;551;-2358;-2154
561078;13592;17407;-4523;-6288;-726;-2336
562089;396;12957;-853;-5169;1998;729
563079;-13366;-8444;2968;1627;2465;3219
564080;-9358;-18446;1484;4835;97;1875
565075;7223;-3953;-3212;519;-2137;-1701
566076;14345;15644;-4314;-4939;-1494;-3007
567077;2266;14215;494;-3532;981;-513
568078;-13558;-6680;5392;3281;1948;2436
569078;-12613;-19783;3808;6294;225;2077
570080;4105;-7625;-2713;961;-1853;-1043
571075;15440;14620;-6332;-6395;-1493;-2780
572092;7232;18473;-2795;-6525;927;-778
573077;-9779;-1202;3492;1067;2158;2259
574079;-13930;-19368;5120;7323;418;2178
575079;-484;-12987;678;4750;-2084;-991
576076;12580;9301;-3794;-3175;-2047;-3053
577077;8358;18686;-2633;-6393;533;-1232
578079;-7066;3550;1997;-1372;2409;2227
579080;-12933;-15787;3214;4550;1341;3004
580077;-1166;-13784;-871;3426;-1218;117
581078;12769;6761;-4570;-2831;-2017;-2780
582089;10075;18417;-2405;-5363;-111;-2010
583075;-6436;5299;3500;-195;1848;1278
584076;-15782;-15994;5906;6314;1241;2751
585078;-5991;-17877;1527;5443;-1004;638
586080;10740;2736;-4702;-2513;-1870;-2211
587076;13917;20390;-5524;-8056;-209;-2086
588077;305;13025;-246;-4257;1951;971
589079;-12542;-10107;4520;4345;1972;3172
590079;-8471;-19712;3304;7383;-205;1635
591080;6695;-3859;-1627;1543;-1877;-1788
592095;12643;16449;-3641;-5522;-872;-2681
593090;1380;14759;-371;-5019;1469;89
594080;-11946;-6193;3314;1780;2004;2848
595076;-9194;-18466;2062;5592;30;2020
596076;6374;-5927;-2452;1646;-1912;-1349
