Timestamp;scop_gx;scop_gy;scop_gz
711000;22;-84;-124
712000;-87;-54;-29
713000;-97;-34;70
714000;-22;55;10
715000;27;120;-29
716000;-232;10;25
717000;-82;20;-44
718000;-62;-99;-44
719000;-157;-139;5
720000;-87;45;-24
721000;-42;35;-94
722000;32;-59;60
723000;-52;-104;110
724000;-12;5;-24
725000;-177;-79;-144
726000;-12;40;-39
727000;-17;-159;-69
728000;52;-84;-69
729000;62;-69;0
730000;-42;-34;40
731000;-37;65;-29
732000;47;-4;-59
733000;27;15;20
734000;47;50;35
735000;12;50;0
736000;132;-24;15
737000;107;-79;65
738000;-17;-54;20
739000;-37;0;-19
740000;-167;-4;-29
741000;2;-4;-19
742000;107;-49;25
743000;-82;0;-74
744000;-132;-79;-144
745000;-57;-84;-149
746000;72;120;10
747000;-37;155;50
748000;-52;45;25
749000;-12;95;45
750000;7;-59;60
751000;-47;-49;45
752000;-82;-149;-44
753000;-117;-124;0
754000;-62;35;25
755000;97;35;-64
756000;142;-14;-79
757000;-47;-59;-69
758000;12;0;-44
759000;72;55;5
760000;92;85;-9
761000;-142;-14;-24
762000;-202;-34;-4
763000;-22;-44;-39
764000;-22;-239;-124
765000;-52;-84;-94
766000;-82;60;-54
767000;-82;-74;-64
768000;-82;-84;-9
769000;-167;-59;-44
770000;-72;55;-44
771000;-27;-79;-4
772000;-47;-109;10
773000;22;-29;-94
774000;-42;-84;-59
775000;-2;-74;35
776000;-142;-59;-84
777000;-32;-34;-64
778000;37;-24;-44
779000;12;-34;40
780000;12;-69;0
781000;-47;-39;-84
782000;97;-94;-74
783000;-32;-54;5
784000;-72;-34;110
785000;12;-24;20
786000;7;-59;5
787000;-82;-54;10
788000;-77;-9;50
789000;12;25;20
790000;-27;75;-14
791000;-32;75;10
792000;-117;-34;35
793000;-217;-149;30
794000;-177;-74;30
795000;57;90;-9
796000;72;90;40
797000;-17;80;15
798000;32;15;0
799000;22;-109;-44
800000;62;-94;-14
801000;37;-34;-14
802000;12;-59;-84
803000;-157;-119;-64
804000;-42;10;-24
805000;-97;-119;10
806000;-52;-94;-44
807000;27;40;-39
808000;-142;0;15
809000;-107;-84;40
810000;-2;-134;15
811000;22;55;85
812000;-7;55;75
813000;-22;35;-4
814000;12;-64;0
815000;122;-39;35
816000;37;-109;5
817000;-42;-14;-39
818000;-32;130;-19
819000;-47;35;25
820000;-97;-109;-54
821000;-92;5;-144
822000;-62;-94;0
823000;-7;-64;-44
824000;7;-29;-54
825000;-32;45;-14
826000;12;30;0
827000;47;-4;30
828000;37;0;-44
829000;-57;0;-4
830000;-107;-74;-84
831000;-22;-104;-84
832000;137;65;145
833000;12;50;50
834000;-57;-94;-29
835000;-27;-99;-39
836000;-97;-59;-14
837000;-107;-109;-4
838000;-82;140;60
839000;-57;120;-29
840000;57;5;-79
841000;107;-109;-19
842000;177;-164;-14
843000;102;70;5
844000;47;165;0
845000;7;-114;45
846000;-77;-109;15
847000;-52;15;-74
848000;-2;-54;-29
849000;2;-119;-14
850000;-52;-14;-24
851000;-67;85;-14
852000;-67;85;-14
853000;-22;55;15
854000;102;80;-9
855000;27;15;-19
856000;-77;-9;-44
857000;-17;-39;75
858000;47;-59;-9
859000;-72;-34;-54
860000;-42;-64;15
861000;-37;-169;-64
862000;-47;-14;-14
863000;-92;-79;90
